Install_Dates,source_type,Country,installs
2020-04-17,Paid,TT,2.0
2020-04-12,Organic,AM,11.0
2020-04-20,Paid,DE,50.0
2020-03-27,Paid,JP,8.0
2020-04-07,Organic,NL,20.0
2020-03-25,Paid,TW,10.0
2020-03-28,Paid,MY,8.0
2020-03-26,Organic,KR,29.0
2020-05-05,Paid,NZ,12.0
2020-03-28,Paid,UA,344.0
2020-04-03,Paid,PH,4.0
2020-05-02,Organic,MW,1.0
2020-05-11,Paid,BG,4.0
2020-04-01,Organic,HN,1.0
2020-04-05,Paid,HR,1.0
2020-05-17,Paid,FJ,1.0
2020-03-21,Paid,NL,2.0
2020-04-14,Paid,SE,5.0
2020-03-30,Organic,SR,1.0
2020-04-12,Paid,KR,5.0
2020-04-15,Organic,AU,20.0
2020-04-18,Paid,KZ,2.0
2020-04-28,Paid,SD,1.0
2020-03-18,Organic,DK,12.0
2020-05-06,Paid,JO,6.0
2020-04-20,Organic,AR,28.0
2020-05-03,Paid,AE,1.0
2020-04-26,Organic,AT,14.0
2020-03-27,Paid,TW,8.0
2020-03-18,Organic,EE,4.0
2020-03-24,Organic,EC,2.0
2020-05-12,Paid,KG,3.0
2020-03-18,Paid,CA,2.0
2020-03-30,Paid,UA,7.0
2020-04-24,Organic,TG,1.0
2020-03-24,Paid,TW,23.0
2020-03-27,Paid,GE,4.0
2020-03-29,Paid,CH,2.0
2020-04-07,Organic,CY,1.0
2020-04-09,Paid,IQ,1.0
2020-05-02,Organic,LY,5.0
2020-04-03,Paid,AG,1.0
2020-04-04,Paid,RU,1586.0
2020-05-17,Organic,QA,1.0
2020-04-17,Paid,UZ,250.0
2020-05-08,Paid,PE,4.0
2020-04-03,Paid,RU,4.0
2020-04-04,Organic,CA,10.0
2020-04-28,Paid,FI,15.0
2020-04-30,Paid,BD,30.0
2020-04-26,Organic,LA,4.0
2020-04-08,Paid,MD,104.0
2020-04-12,Paid,PH,1.0
2020-04-09,Organic,NZ,4.0
2020-04-15,Paid,IN,1.0
2020-05-02,Paid,KR,20.0
2020-04-27,Organic,UA,380.0
2020-04-08,Paid,DE,1.0
2020-04-30,Organic,AZ,14.0
2020-04-05,Organic,ZA,1.0
2020-05-15,Organic,PY,4.0
2020-03-23,Organic,DE,146.0
2020-05-03,Paid,NL,21.0
2020-04-28,Organic,MY,19.0
2020-04-30,Paid,KR,15.0
2020-04-03,Organic,YE,4.0
2020-04-14,Paid,UZ,1.0
2020-04-22,Paid,CZ,61.0
2020-04-29,Organic,VE,6.0
2020-04-11,Paid,SK,27.0
2020-04-02,Organic,BY,70.0
2020-04-17,Organic,MX,18.0
2020-04-25,Paid,DK,4.0
2020-05-18,Organic,DZ,22.0
2020-05-01,Organic,UY,1.0
2020-04-07,Organic,AE,3.0
2020-03-29,Paid,AT,4.0
2020-05-11,Paid,AU,1.0
2020-03-21,Organic,KZ,70.0
2020-05-14,Organic,PA,1.0
2020-04-25,Organic,MG,3.0
2020-04-22,Paid,DK,4.0
2020-05-12,Organic,SE,6.0
2020-03-30,Paid,AT,1.0
2020-03-23,Paid,NZ,1.0
2020-03-18,Organic,GY,1.0
2020-04-30,Organic,MA,5.0
2020-05-06,Organic,SC,1.0
2020-05-12,Paid,UA,105.0
2020-04-09,Organic,BA,9.0
2020-04-15,Organic,BG,5.0
2020-04-09,Paid,DE,45.0
2020-03-28,Organic,SD,5.0
2020-04-09,Organic,CO,9.0
2020-04-24,Paid,MK,1.0
2020-05-11,Paid,SI,1.0
2020-05-05,Paid,SO,3.0
2020-04-30,Paid,MM,21.0
2020-05-05,Organic,IQ,45.0
2020-05-03,Paid,IQ,1.0
2020-05-12,Paid,HU,1.0
2020-05-09,Paid,GT,1.0
2020-04-26,Organic,CH,2.0
2020-04-20,Organic,CN,91.0
2020-05-15,Paid,GR,9.0
2020-04-01,Paid,PL,2.0
2020-04-23,Paid,US,76.0
2020-04-23,Organic,OM,1.0
2020-05-01,Organic,TW,10.0
2020-05-03,Paid,PK,81.0
2020-04-22,Paid,RU,408.0
2020-05-18,Organic,ET,6.0
2020-04-17,Paid,FI,4.0
2020-04-02,Paid,ES,45.0
2020-04-17,Organic,LV,9.0
2020-05-01,Paid,BR,4.0
2020-03-24,Paid,IN,3.0
2020-03-26,Organic,IN,68.0
2020-05-17,Paid,TW,7.0
2020-05-07,Organic,RU,1260.0
2020-05-17,Organic,RS,12.0
2020-04-01,Organic,FI,8.0
2020-04-14,Organic,TN,2.0
2020-04-20,Paid,UK,64.0
2020-05-16,Paid,VN,1.0
2020-04-08,Organic,TH,54.0
2020-05-10,Paid,LI,1.0
2020-05-11,Paid,CH,5.0
2020-04-13,Paid,QA,2.0
2020-04-20,Paid,CZ,7.0
2020-04-30,Paid,PA,1.0
2020-04-05,Paid,KZ,192.0
2020-05-11,Paid,UY,1.0
2020-05-05,Paid,IE,1.0
2020-04-27,Paid,DZ,47.0
2020-03-28,Organic,TZ,1.0
2020-05-10,Paid,MM,2.0
2020-05-13,Organic,LC,1.0
2020-04-01,Organic,LB,5.0
2020-05-17,Paid,BF,1.0
2020-05-14,Paid,MA,51.0
2020-04-28,Paid,PY,105.0
2020-03-25,Paid,FR,28.0
2020-05-14,Paid,AZ,4.0
2020-05-11,Paid,JP,26.0
2020-04-03,Paid,DE,324.0
2020-04-24,Paid,TR,1.0
